scenario,target,profile,method,confidence_level,center_empirical_coverage,q25_empirical_coverage,q75_empirical_coverage,center_relative_ci_width,q25_relative_ci_width,q75_relative_ci_width,center_coverage_error,q25_coverage_error,q75_coverage_error,n_seeds,n_replicates
logistic_glm,beta_2,baseline,classic,0.975,0.9785,0.975625,0.980375,1.0,1.0,1.0,0.0035000000000000586,0.0006250000000000422,0.005375000000000046,30,2000
lr,beta_0,P1,naive_ml,0.9,0.8987499999999999,0.891625,0.901,0.0036913445438022043,0.0036844861964832358,0.0037013793497697924,-0.0012500000000000289,-0.008375000000000049,0.0010000000000000009,30,2000
lr,beta_0,P1,naive_ml,0.95,0.9492499999999999,0.9435,0.951875,0.003691344543802206,0.0036844861964832444,0.0037013793497697916,-0.0007499999999999729,-0.00649999999999995,0.0018750000000000155,30,2000
lr,beta_0,P1,naive_ml,0.975,0.97375,0.970125,0.976375,0.003691344543802207,0.0036844861964832293,0.003701379349769796,-0.0012499999999999734,-0.0048749999999999905,0.0013750000000000429,30,2000
lr,beta_0,P1,ppi,0.9,0.8945000000000001,0.891,0.899,1.00718412967529,1.0048196625087913,1.0089071468559596,-0.005500000000000005,-0.009000000000000008,-0.0010000000000000009,30,2000
lr,beta_0,P1,ppi,0.95,0.94675,0.944125,0.95275,1.007184129675292,1.0048196625087926,1.008907146855958,-0.003249999999999975,-0.005874999999999991,0.002750000000000058,30,2000
lr,beta_0,P1,ppi,0.975,0.97375,0.971125,0.976375,1.0071841296752906,1.0048196625087915,1.008907146855959,-0.0012499999999999734,-0.0038749999999999896,0.0013750000000000429,30,2000
lr,beta_0,P1,ppi_plus_plus,0.9,0.886,0.881875,0.888,0.9697131771784788,0.9685016464322119,0.9709391173199412,-0.014000000000000012,-0.018125000000000058,-0.01200000000000001,30,2000
lr,beta_0,P1,ppi_plus_plus,0.95,0.937,0.9341250000000001,0.942,0.9697131771784773,0.9685016464322136,0.9709391173199398,-0.0129999999999999,-0.015874999999999917,-0.008000000000000007,30,2000
lr,beta_0,P1,ppi_plus_plus,0.975,0.9655,0.9635,0.969,0.9697131771784806,0.9685016464322126,0.9709391173199431,-0.009499999999999953,-0.011499999999999955,-0.006000000000000005,30,2000
lr,beta_0,P2,naive_ml,0.9,0.0,0.0,0.0,8.389254012933279e-17,8.311916703841115e-17,8.424244091908401e-17,-0.9,-0.9,-0.9,30,2000
lr,beta_0,P2,naive_ml,0.95,0.0,0.0,0.0,8.389254012933279e-17,8.31191670384115e-17,8.424244091908386e-17,-0.95,-0.95,-0.95,30,2000
lr,beta_0,P2,naive_ml,0.975,0.0,0.0,0.0,8.389254012933307e-17,8.31191670384114e-17,8.42424409190839e-17,-0.975,-0.975,-0.975,30,2000
lr,beta_0,P2,ppi,0.9,0.8945000000000001,0.891625,0.901375,1.0080766986281893,1.0056767352953446,1.0099784630747903,-0.005500000000000005,-0.008375000000000049,0.0013749999999999596,30,2000
lr,beta_0,P2,ppi,0.95,0.94675,0.944125,0.95125,1.00807669862819,1.0056767352953455,1.00997846307479,-0.003249999999999975,-0.005874999999999991,0.0012500000000000566,30,2000
lr,beta_0,P2,ppi,0.975,0.9735,0.971625,0.9768749999999999,1.0080766986281877,1.005676735295346,1.0099784630747906,-0.0014999999999999458,-0.0033749999999999614,0.0018750000000000155,30,2000
lr,beta_0,P2,ppi_plus_plus,0.9,0.88575,0.8811249999999999,0.887,0.970181849771584,0.9688621133369926,0.9712095295214664,-0.01425000000000004,-0.01887500000000003,-0.013000000000000012,30,2000
lr,beta_0,P2,ppi_plus_plus,0.95,0.93625,0.933125,0.9415,0.9701818497715846,0.9688621133369935,0.9712095295214644,-0.013749999999999929,-0.016874999999999918,-0.008499999999999952,30,2000
lr,beta_0,P2,ppi_plus_plus,0.975,0.9655,0.9635,0.9688749999999999,0.9701818497715855,0.9688621133369922,0.9712095295214672,-0.009500000000000008,-0.011499999999999955,-0.0061249999999999916,30,2000
lr,beta_0,P3,naive_ml,0.9,0.0,0.0,0.0,8.366281251040474e-17,8.305061059297167e-17,8.483664987571252e-17,-0.9,-0.9,-0.9,30,2000
lr,beta_0,P3,naive_ml,0.95,0.0,0.0,0.0,8.366281251040464e-17,8.30506105929718e-17,8.483664987571257e-17,-0.95,-0.95,-0.95,30,2000
